logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,net.colors,color
1.05328461998928,9.03865269434395,8.27237378186817,4.87335093775732e-14,1.47969082908519e-11,21.4421033270068,BACH1,4,yellow
2.4137009371141,9.75670339507643,7.80889047611614,7.19178608429943e-13,1.44026992592486e-10,18.8339257954063,HILPDA,4,yellow
1.61613751799928,11.6853172959873,7.70993886363642,1.26719356378557e-12,2.26165328440198e-10,18.2853828086447,PLIN2,4,yellow
1.41491467940332,7.24252234980255,7.6544525171044,1.73861584167661e-12,2.9754039290511e-10,17.9791537719492,GPT2,4,yellow
1.31552067239457,11.9540779692994,7.43840518533835,5.90050304334163e-12,8.28932610379897e-10,16.7964743629784,DUSP1,4,yellow
1.09891982139571,12.3268121236943,7.33630576596333,1.0454286865485e-11,1.3387887771616e-09,16.243131601262,ARRDC3,4,yellow
1.13849264629156,7.29301554988535,7.0600514968586,4.82282401540844e-11,5.21779667184276e-09,14.7649049862526,SLC2A14,4,yellow
-1.23333966866914,7.35030398079618,-6.59099830321299,6.04578485885473e-10,4.70297107305538e-08,12.3236780571379,GCLM,4,yellow
0.53079954986667,13.1762389913376,6.51495269076667,9.03173322519123e-10,6.61565673012549e-08,11.9366436611132,SLC2A1,4,yellow
-0.980471336150257,9.15084163678981,-6.46941355215579,1.14719872212431e-09,8.1872588606062e-08,11.7061006586551,MAPK8,4,yellow
-1.05919812592191,9.60710822033121,-6.26095464334211,3.38831890090835e-09,2.09131486260982e-07,10.6628446084116,TXNRD1,4,yellow
0.908368855744853,10.8221309515287,6.18299865507073,5.05432151004895e-09,2.90084153739852e-07,10.2779339471794,CDO1,4,yellow
0.596004577392653,9.04988309287898,5.80619616540202,3.35190594854689e-08,1.46743324375338e-06,8.45972474234661,ACSF2,4,yellow
-1.01334452134377,6.9020822616242,-5.52045005187885,1.34144940739198e-07,4.7467641154425e-06,7.13026270725265,SLC2A12,4,yellow
1.38630150429841,9.48443720569427,5.49946821715773,1.48271686130974e-07,5.15077550658535e-06,7.03440511091443,SLC2A3,4,yellow
-0.526973053479805,10.7037102523248,-5.48693593520601,1.57391570080861e-07,5.40674508535073e-06,6.97726773995284,NFE2L2,4,yellow
1.43657741989558,7.74875740993631,5.42383583045565,2.1229546881443e-07,6.92627764372903e-06,6.69092597083565,SCD,4,yellow
-0.787635954577413,8.56410604957962,-5.41395414906822,2.22436988268038e-07,7.21961431749279e-06,6.64628838820249,LINC00472,4,yellow
0.733824515443612,6.327355351,5.20667420037985,5.84611252713705e-07,1.6280039692804e-05,5.72296806927888,RGS4,15,midnightblue
0.857809642498518,9.42592843235669,5.17097397808859,6.88778013115515e-07,1.8656469204172e-05,5.5664915511891,HMOX1,4,yellow
0.592230130603745,11.1604480924204,4.73019022758959,4.90240133670459e-06,9.69408667683445e-05,3.69898947503913,HERPUD1,4,yellow
-0.585450722621444,8.57605657881529,-4.65823264448947,6.67839789773425e-06,0.000125972785996841,3.40583903670338,SRXN1,4,yellow
0.541590616181937,10.9549046107643,4.27641517918323,3.25875381868103e-05,0.000475550702609848,1.9083315527607,PRDX6,4,yellow
1.16350411149427,8.11723231458599,4.20343217079547,4.36417910338446e-05,0.000598802271291637,1.63352945967344,VEGFA,4,yellow
0.90823681602789,7.48061898489172,4.20055505623511,4.41439762227611e-05,0.000605251531240698,1.6227733992246,DDIT4,4,yellow
1.79398678436837,8.22439368056688,3.8714442424444,0.000157413186726091,0.00169462227687911,0.431815124250324,MUC1,4,yellow
0.635912964791736,7.79225291126115,3.84469252073034,0.00017397571962931,0.00182151997887751,0.338505459234105,CAPG,15,midnightblue
